code,name,nature
SZ300153,科泰电源,波段
SH605118,力鼎光电,波段
SZ001301,尚太科技,波段
SZ003009,中天火箭,波段
SZ002074,国轩高科,波段
SH600885,宏发股份,波段
SZ000155,川能动力,波段
SH601636,旗滨集团,波段
SH600756,浪潮软件,波段
SZ300674,宇信科技,波段
SH600859,王府井,波段
SZ000516,国际医学,波段
SH601900,南方传媒,波段
SZ001914,招商积余,波段
SZ002324,普利特,波段
SH603171,税友股份,波段
SZ300122,智飞生物,波段
SZ000553,安道麦A,波段
SH600663,陆家嘴,波段
SZ000410,沈阳机床,波段
SZ002093,国脉科技,波段
SZ002202,金风科技,波段
SH600595,中孚实业,波段
SZ002384,东山精密,波段
SZ002773,康弘药业,波段
SZ301029,怡合达,波段
SH600699,均胜电子,波段
SH600649,城投控股,波段
SZ300775,三角防务,波段
SH600498,烽火通信,波段
SZ000980,众泰汽车,波段
SZ002756,永兴材料,波段
SZ300395,菲利华,波段
SH601869,长飞光纤,波段
SH600126,杭钢股份,波段
SH601615,明阳智能,波段
SH600894,广日股份,波段
SZ300618,寒锐钴业,波段
SH600331,宏达股份,波段
SZ002957,科瑞技术,波段
SZ300896,爱美客,波段
SZ002031,巨轮智能,波段
SZ002675,东诚药业,波段
SZ002976,瑞玛精密,波段
SH600745,闻泰科技,波段
SZ300803,指南针,波段
SH603100,川仪股份,波段
SZ002244,滨江集团,波段
SZ300604,长川科技,波段
SH603885,吉祥航空,波段
SZ000733,振华科技,波段
SZ300634,彩讯股份,波段
SZ300101,振芯科技,波段
SZ300641,正丹股份,波段
SH600967,内蒙一机,波段
SH600864,哈投股份,波段
SZ000591,太阳能,波段
SH600248,陕建股份,波段
SZ000761,本钢板材,波段
SZ002203,海亮股份,波段
SZ002402,和而泰,波段
SH600587,新华医疗,波段
SZ000831,中国稀土,波段
SZ301112,信邦智能,波段
SZ002008,大族激光,波段
SH600151,航天机电,波段
SZ002340,格林美,波段
SH600702,舍得酒业,波段
SZ300354,东华测试,波段
SZ300070,碧水源,波段
SZ301199,迈赫股份,波段
SZ300024,机器人,波段
SZ301516,中远通,波段
SZ000050,深天马Ａ,波段
SH601865,福莱特,波段
SZ300821,东岳硅材,波段
SZ300699,光威复材,波段
SZ301286,侨源股份,波段
SH603296,华勤技术,波段
SZ002912,中新赛克,波段
SZ300390,天华新能,波段
SZ002171,楚江新材,波段
SH605305,中际联合,波段
SH601068,中铝国际,波段
SZ000519,中兵红箭,波段
SZ002624,完美世界,波段
SZ000727,冠捷科技,波段
SH600739,辽宁成大,波段
SZ300347,泰格医药,波段
SZ300457,赢合科技,波段
SZ300525,博思软件,波段
SZ300660,江苏雷利,波段
SZ300768,迪普科技,波段
SZ300031,宝通科技,波段
SZ000559,万向钱潮,波段
SZ002156,通富微电,波段
SH603997,继峰股份,波段
SZ000829,天音控股,波段
SH600246,万通发展,波段
SZ002407,多氟多,波段
SZ300777,中简科技,波段
